object	addr	size	section
arith_samples.o	0x007a4d60	16	.text.fun_7a4d60
arith_samples.o	0x007f14c0	16	.text.fun_7f14c0
arith_samples.o	0x007f14d0	16	.text.fun_7f14d0
arith_samples.o	0x00742750	16	.text.fun_742750
arith_samples.o	0x00826760	16	.text.fun_826760
arith_samples.o	0x007f22b0	12	.text.fun_7f22b0
bit_samples.o	0x00762530	12	.text.fun_762530
bit_samples.o	0x00762540	12	.text.fun_762540
bit_samples.o	0x00762550	12	.text.fun_762550
bit_samples.o	0x0076b910	12	.text.fun_76b910
branched_leaves12.o	0x00890b00	300	.text.fun_890b00
branched_leaves12.o	0x00892140	304	.text.fun_892140
branched_leaves12.o	0x00880800	436	.text.fun_880800
branched_leaves12.o	0x00893f80	456	.text.fun_893f80
branched_leaves12.o	0x0071dad0	68	.text.fun_71dad0
branched_leaves12.o	0x007ca5b0	8	.text.fun_7ca5b0
branched_leaves12.o	0x00823480	36	.text.fun_823480
branched_leaves12.o	0x00868a80	164	.text.fun_868a80
branched_leaves12.o	0x00873d14	180	.text.fun_873d14
float_and_tls.o	0x008757c0	12	.text.fun_8757c0
float_and_tls.o	0x00890ae0	12	.text.fun_890ae0
float_and_tls.o	0x007e2488	12	.text.fun_7e2488
float_and_tls.o	0x007e9ea0	20	.text.fun_7e9ea0
float_and_tls.o	0x000b5480	20	.text.fun_0b5480
getters.o	0x0012b0c0	8	.text.fun_12b0c0
getters.o	0x00182040	8	.text.fun_182040
getters.o	0x00765c10	8	.text.fun_765c10
getters.o	0x00765c70	8	.text.fun_765c70
getters.o	0x0077d340	8	.text.fun_77d340
getters.o	0x0078b710	8	.text.fun_78b710
getters.o	0x007c2680	8	.text.fun_7c2680
getters.o	0x00879840	8	.text.fun_879840
getters.o	0x00879860	8	.text.fun_879860
getters.o	0x00879880	8	.text.fun_879880
getters.o	0x008798a0	8	.text.fun_8798a0
getters.o	0x000786d0	12	.text.fun_0786d0
getters.o	0x001f1190	12	.text.fun_1f1190
getters.o	0x001f1160	12	.text.fun_1f1160
leaves_batch3.o	0x0016b630	48	.text.fun_16b630
mem_samples.o	0x000785d0	12	.text.fun_0785d0
mem_samples.o	0x001f1130	12	.text.fun_1f1130
mem_samples.o	0x000b54c0	20	.text.fun_0b54c0
mem_samples.o	0x00647ef0	12	.text.fun_647ef0
mem_samples.o	0x00800450	12	.text.fun_800450
mem_samples.o	0x0080a020	12	.text.fun_80a020
mem_samples.o	0x0081e7f0	12	.text.fun_81e7f0
misc16.o	0x007a2d40	16	.text.fun_7a2d40
misc16.o	0x007a2d50	16	.text.fun_7a2d50
misc16.o	0x00824f80	16	.text.fun_824f80
misc16.o	0x007bf5f0	16	.text.fun_7bf5f0
misc16.o	0x007bf600	16	.text.fun_7bf600
misc16.o	0x007dc060	20	.text.fun_7dc060
misc16.o	0x00824f60	20	.text.fun_824f60
misc16.o	0x00701ca0	24	.text.fun_701ca0
misc16.o	0x007f3d80	24	.text.fun_7f3d80
misc_20_24.o	0x008ab3e0	20	.text.fun_8ab3e0
