rodata_off	length	source	plaintext	key	variant
0x00837032	6	plain	3s~UUU		none
0x00837135	64	cipher_v2	 +u3J+;[@'sSQ3;[@'sSQ3;[@'sSQ3;[@'sSQ3;[@'sSQ3;[@'sSQ3;[@'sSQ3;[	0x498999d59519b1df	v2_xor_ror
0x008372a1	7	plain	TUUUUUU		none
0x008374cd	10	cipher_v2	A'ReFb?GAf	0x712c726e86b50cfa	v2_xor_ror
0x00837700	9	plain	Location_		none
0x00837710	200	plain	00010203040506070809101112131415161718192021222324252627282930313233343536373839404142434445464748495051525354555657585960616263646566676869707172737475767778798081828384858687888990919293949596979899		none
0x008377e0	36	plain	Disabled titles to check for updates		none
0x00837808	16	plain	0123456789ABCDEF		none
0x00837820	20	plain	basic_string::append		none
0x00837838	22	plain	Couldn't find the key.		none
0x00837850	49	plain	basic_string: construction from null is not valid		none
0x00837890	10	plain	MTPStorage		none
0x008378a0	15	plain	Network sources		none
0x008378b0	13	plain	Local sources		none
0x008378c0	19	plain	MTP custom storages		none
0x008378d8	47	plain	We reached the maximum size for the hash table.		none
0x00837908	47	plain	cannot create std::deque larger than max_size()		none
0x00837970	7	plain	Install		none
0x00837978	9	plain	EnableNSZ		none
0x00837988	12	plain	Saved values		none
0x00837998	12	plain	titledbfixed		none
0x008379a8	19	plain	Title name override		none
0x008379c0	7	plain	General		none
0x008379c8	10	plain	AppSorting		none
0x008379d8	36	plain	Name,LastPlayed,InstallLocation,Size		none
0x00837a00	10	plain	LastPlayed		none
0x00837a10	15	plain	InstallLocation		none
0x00837a20	11	plain	SaveSorting		none
0x00837a30	39	plain	AppName,AppLastPlayed,UserUid,Size,Time		none
0x00837a58	7	plain	AppName		none
0x00837a60	13	plain	AppLastPlayed		none
0x00837a70	7	plain	UserUid		none
0x00837a78	10	plain	ApacheHTTP		none
0x00837a88	6	plain	WebDAV		none
0x00837a90	7	plain	URLList		none
0x00837aa8	6	plain	GitHub		none
0x00837ab0	25	plain	vector::_M_realloc_append		none
0x00837ad0	33	plain	The map exceeds its maximum size.		none
0x00837af8	48	plain	cannot create std::vector larger than max_size()		none
0x00837b30	8	plain	No error		none
0x00837b40	16	plain	bad code lengths		none
0x00837b58	15	plain	bad codelengths		none
0x00837b68	9	plain	bad sizes		none
0x00837b78	8	plain	outofmem		none
0x00837b88	19	plain	output buffer limit		none
0x00837ba0	11	plain	unsupported		none
