rodata_va	n_refs	string	sample_text_pcs
0x71837700	1	Location_	0x7104f274
0x71837710	73	000102030405060708091011121314151617181920212223242526272829	0x7104f1b0,0x710557c0,0x7107af64,0x71099780,0x7109b998
0x718377e0	2	Disabled titles to check for updates	0x7104f5a0,0x7158db1c
0x71837808	112	0123456789ABCDEF	0x7104fac4,0x710586ac,0x71083520,0x71083ce4,0x71084ab8
0x71837820	6264	basic_string::append	0x7100074c,0x71000778,0x7100097c,0x71000bf4,0x71000c24
0x71837838	4	Couldn't find the key.	0x7104ff3c,0x71053558,0x710535cc,0x71053670
0x71837850	1334	basic_string: construction from null is not valid	0x710001cc,0x710003e8,0x710004e8,0x71000618,0x71000a58
0x71837890	1	MTPStorage	0x710531d4
0x718378a0	1	Network sources	0x71052800
0x718378b0	1	Local sources	0x71052d68
0x718378c0	1	MTP custom storages	0x7105305c
0x718378d8	4	We reached the maximum size for the hash table.	0x710549b8,0x71055160,0x71056150,0x71057228
0x71837908	19	cannot create std::deque larger than max_size()	0x710549e0,0x71055134,0x7105613c,0x71057164,0x710a8b24
0x71837970	8	Install	0x7105555c,0x7118a78c,0x711a5e50,0x711acdb4,0x711d3af4
0x71837978	1	EnableNSZ	0x710555a0
0x71837988	11	Saved values	0x710564b4,0x7144a2e8,0x7144a418,0x7146b148,0x7146b26c
0x71837998	1	titledbfixed	0x710564d8
0x718379a8	1	Title name override	0x71058670
0x718379c0	54	General	0x71013808,0x710587b4,0x71058d34,0x71145454,0x7114d54c
0x718379c8	1	AppSorting	0x71058804
0x718379d8	1	Name,LastPlayed,InstallLocation,Size	0x71058868
0x71837a20	1	SaveSorting	0x71058d84
0x71837a30	1	AppName,AppLastPlayed,UserUid,Size,Time	0x71058de8
0x71837a88	2	WebDAV	0x7148f83c,0x71490ac0
0x71837aa8	1	GitHub	0x710e4974
0x71837ab0	172	vector::_M_realloc_append	0x71050d4c,0x71050e0c,0x71051078,0x71051f30,0x71052270
0x71837ad0	3	The map exceeds its maximum size.	0x71053aac,0x71053d5c,0x7105400c
0x71837af8	26	cannot create std::vector larger than max_size()	0x71049448,0x7104a4f8,0x7104aac0,0x7104ae18,0x7104df48
0x71837b30	3	No error	0x7100a4d0,0x716a6ba8,0x716f658c
0x71837b40	1	bad code lengths	0x7105be68
0x71837b58	2	bad codelengths	0x7105c16c,0x7105ffa4
0x71837b68	1	bad sizes	0x7105c12c
0x71837b78	10	outofmem	0x7105c278,0x7105cf58,0x71061148,0x710623a8,0x710657b0
0x71837b88	1	output buffer limit	0x7105c254
0x71837ba0	2	unsupported	0x7105c6ec,0x71060808
0x71837bb0	1	bad zlib header	0x710606e8
0x71837bc0	1	no preset dict	0x71060704
0x71837bd0	2	bad compression	0x710606cc,0x71069b44
0x71837be0	1	zlib corrupt	0x71060518
0x71837bf0	1	read past buffer	0x710605b4
0x71837c08	3	bad huffman code	0x710602e0,0x71063624,0x7106aa7c
0x71837c20	1	bad dist	0x71060380
0x71837c30	4	too large	0x71061848,0x71065304,0x7106795c,0x71069b04
0x71837c40	1	not enough pixels	0x71061c10
0x71837c58	1	invalid filter	0x71061f38
0x71837c68	1	invalid width	0x71062218
0x71837cc8	1	can't merge dc and ac	0x71063250
0x71837ce0	1	expected marker	0x71064768
0x71837cf0	1	bad DRI len	0x710647a0
0x71837d00	1	bad DQT type	0x71064b08
0x71837d10	1	bad DQT table	0x71064af0
0x71837d20	1	bad DHT header	0x71064ab0
0x71837d30	1	bad COM len	0x71064c30
0x71837d40	1	bad APP len	0x71064a9c
0x71837d50	1	unknown marker	0x71064a3c
0x71837d60	2	no SOI	0x71065070,0x710684b0
0x71837d68	1	no SOF	0x7106508c
0x71837d70	1	bad SOF len	0x71064f84
0x71837d80	1	only 8-bit	0x71065214
0x71837d90	1	no header height	0x71065298
0x71837da8	1	0 width	0x710652cc
0x71837db0	1	bad component count	0x7106548c
0x71837dd8	1	bad TQ	0x71065500
0x71837de8	2	bad png sig	0x71066f00,0x71068584
0x71837df8	1	multiple IHDR	0x71068010
0x71837e08	1	bad IHDR len	0x71068100
0x71837e18	1	1/2/4/8/16-bit only	0x71067718
