addr	xrefs	len	value
7100000008	0	12	HOMEBREWNRO0
7100837700	1	9	Location_
71008377c9	83	15	293949596979899
71008377e0	2	36	Disabled titles to check for updates
7100837808	176	16	0123456789ABCDEF
7100837820	6238	20	basic_string::append
7100837838	4	22	Couldn't find the key.
7100837850	1328	49	basic_string: construction from null is not valid
7100837888	4	5	Local
7100837890	2	10	MTPStorage
71008378a0	2	15	Network sources
71008378b0	2	13	Local sources
71008378c0	2	19	MTP custom storages
71008378d8	4	47	We reached the maximum size for the hash table.
7100837908	19	47	cannot create std::deque larger than max_size()
7100837940	0	5	False
7100837960	8	5	false
7100837968	3	5	FALSE
7100837970	13	7	Install
7100837978	1	9	EnableNSZ
7100837988	13	12	Saved values
7100837998	2	12	titledbfixed
71008379a8	1	19	Title name override
71008379c0	76	7	General
71008379c8	1	10	AppSorting
71008379d8	1	36	Name,LastPlayed,InstallLocation,Size
7100837a00	0	10	LastPlayed
7100837a10	0	15	InstallLocation
7100837a20	1	11	SaveSorting
7100837a30	1	39	AppName,AppLastPlayed,UserUid,Size,Time
7100837a58	0	7	AppName
7100837a60	0	13	AppLastPlayed
7100837a70	0	7	UserUid
7100837a78	4	10	ApacheHTTP
7100837a90	1	7	URLList
7100837ab0	172	25	vector::_M_realloc_append
7100837ad0	3	33	The map exceeds its maximum size.
7100837af8	26	48	cannot create std::vector larger than max_size()
7100837b30	3	8	No error
7100837b40	1	16	bad code lengths
7100837b58	4	15	bad codelengths
7100837b68	1	9	bad sizes
7100837b78	16	8	outofmem
7100837b88	1	19	output buffer limit
7100837ba0	4	11	unsupported
7100837bb0	2	15	bad zlib header
7100837bc0	2	14	no preset dict
7100837bd0	4	15	bad compression
7100837be0	2	12	zlib corrupt
7100837bf0	2	16	read past buffer
7100837c08	5	16	bad huffman code
7100837c20	2	8	bad dist
7100837c30	7	9	too large
7100837c40	1	17	not enough pixels
7100837c58	1	14	invalid filter
7100837c68	2	13	invalid width
7100837cc8	1	21	can't merge dc and ac
7100837ce0	2	15	expected marker
7100837cf0	2	11	bad DRI len
7100837d00	2	12	bad DQT type
7100837d10	2	13	bad DQT table
7100837d20	2	14	bad DHT header
7100837d30	1	11	bad COM len
7100837d40	1	11	bad APP len
7100837d50	2	14	unknown marker
7100837d60	4	6	no SOI
7100837d68	2	6	no SOF
7100837d70	2	11	bad SOF len
7100837d80	2	10	only 8-bit
7100837d90	2	16	no header height
7100837da8	2	7	0 width
7100837db0	2	19	bad component count
7100837dc8	2	5	bad H
7100837dd0	2	5	bad V
7100837dd8	2	6	bad TQ
7100837de8	3	11	bad png sig
7100837df8	2	13	multiple IHDR
7100837e08	2	12	bad IHDR len
7100837e18	2	19	1/2/4/8/16-bit only
7100837e30	2	9	bad ctype
7100837e40	2	15	bad comp method
7100837e50	2	17	bad filter method
7100837e68	2	20	bad interlace method
7100837e80	2	13	0-pixel image
7100837e90	4	14	first not IHDR
7100837ea0	2	12	invalid PLTE
7100837eb0	2	15	tRNS after IDAT
7100837ec0	2	16	tRNS before PLTE
7100837ed8	2	12	bad tRNS len
7100837ee8	2	15	tRNS with alpha
7100837ef8	2	7	no PLTE
7100837f00	2	9	outofdata
7100837f10	2	7	no IDAT
7100837f18	4	12	bad req_comp
7100837f28	2	23	bad SOS component count
7100837f40	2	11	bad SOS len
7100837f50	2	11	bad DC huff
7100837f60	2	11	bad AC huff
7100837f70	2	7	bad SOS
7100837f78	2	11	bad DNL len
7100837f88	2	14	bad DNL height
7100837f98	2	20	bad bits_per_channel
7100837fb0	1	7	not PSD
7100837fb8	1	13	wrong version
7100837fc8	2	19	wrong channel count
7100837fe0	2	21	unsupported bit depth
7100837ff8	2	18	wrong color format
7100838010	3	18	unknown image type
7100838028	2	7	corrupt
7100838030	0	11	can't fopen
7100838058	1	16	ExitToHomeScreen
71008380a0	2	64	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/
7100838108	0	8	no error
7100838118	0	15	undefined error
7100838128	0	14	too many files
7100838138	0	14	file too large
7100838148	0	18	unsupported method
7100838160	0	22	unsupported encryption
7100838178	0	19	unsupported feature
7100838190	0	32	failed finding central directory
71008381b8	0	17	not a ZIP archive
71008381d0	0	38	invalid header or archive is corrupted
71008381f8	0	29	unsupported multidisk archive
7100838218	0	44	decompression failed or archive is corrupted
7100838248	0	28	unexpected decompressed size
7100838268	0	19	CRC-32 check failed
7100838280	0	34	unsupported central directory size
71008382a8	0	16	file open failed
71008382c0	0	18	file create failed
71008382d8	0	17	file write failed
71008382f0	0	16	file read failed
7100838308	0	17	file close failed
7100838320	0	16	file seek failed
7100838338	0	16	file stat failed
7100838350	0	17	invalid parameter
7100838368	0	16	invalid filename
7100838380	0	14	internal error
7100838390	1	14	file not found
71008383a0	0	20	archive is too large
71008383b8	0	17	validation failed
71008383d0	0	21	write callback failed
71008383e8	0	12	total errors
71008383f8	0	13	unknown error
7100838408	1	15	not initialized
7100838418	1	18	invalid entry name
7100838430	1	15	entry not found
7100838440	1	16	invalid zip mode
7100838458	1	25	invalid compression level
7100838478	1	17	no zip 64 support
7100838490	1	12	memset error
71008384a0	1	26	cannot write data to entry
71008384c0	1	34	cannot initialize tdefl compressor
71008384e8	1	13	invalid index
71008384f8	1	16	header not found
7100838510	1	25	cannot flush tdefl buffer
7100838530	1	25	cannot write entry header
7100838550	1	26	cannot create entry header
7100838570	1	27	cannot write to central dir
7100838590	1	16	cannot open file
71008385a8	1	18	invalid entry type
71008385c0	1	42	extracting data using no memory allocation
71008385f0	1	13	no permission
7100838600	3	13	out of memory
7100838610	1	24	invalid zip archive name
7100838630	1	14	make dir error
7100838640	1	13	symlink error
7100838650	1	19	close archive error
7100838668	1	23	capacity size too small
7100838680	1	11	fseek error
7100838690	1	11	fread error
71008386a0	1	12	fwrite error
71008386b0	1	10	stream end
