prefix	variant	key	offset
старого	counter_cumsum	0x5f6faf05cb870f29	0x8f53e8
Обновление	simple_xor	0x73ed43b1ff431583	0x8579b8
Обновление	simple_xor	0xe985d50fe7e75725	0x85ac98
Обновление	simple_xor	0xddc19fe5fbe11b0f	0x85ac80
Обновление	counter_xor	0x73ed43b1ff431583	0x8579b8
Обновление	counter_xor	0xe985d50fe7e75725	0x85ac98
Обновление	counter_xor	0xddc19fe5fbe11b0f	0x85ac80
Шифрование	simple_xor	0x1b9511fd65678b9f	0x85b2b8
Шифрование	counter_xor	0x1b9511fd65678b9f	0x85b2b8
Информация	simple_xor	0x6d71559bf5b90bed	0x85a568
Информация	simple_xor	0x55ddbd77e3ff6323	0x85a570
Информация	simple_xor	0xcb4b4159ad8f1117	0x85a608
Информация	counter_xor	0x6d71559bf5b90bed	0x85a568
Информация	counter_xor	0x55ddbd77e3ff6323	0x85a570
Информация	counter_xor	0xcb4b4159ad8f1117	0x85a608
Информация	counter_cumsum	0xedcbf77947cfdb3b	0x8598a0
Информация	counter_cumsum	0xb7695b379fe16363	0x85a460
Информация	counter_cumsum	0xc98b433b154591f5	0x85a4c0
Информация	counter_cumsum	0x29f5832bb1159713	0x85a4f0
Информация	counter_cumsum	0x05a1859fc91faf51	0x85abb0
Информация	counter_cumsum	0xdd05515d8525233f	0x85b060
Сохранён	counter_cumsum	0x879b751539874163	0x85a5a0
Просмотрено	simple_xor	0x198901bfcf232d03	0x859098
Просмотрено	simple_xor	0x9993bfd7855bd93f	0x859b48
Просмотрено	simple_xor	0x1713e5ade355675d	0x85a0d8
Просмотрено	counter_xor	0x198901bfcf232d03	0x859098
Просмотрено	counter_xor	0x9993bfd7855bd93f	0x859b48
Просмотрено	counter_xor	0x1713e5ade355675d	0x85a0d8
Просмотрено	counter_cumsum	0xc367335909bdbb4b	0x858fa8
Просмотрено	counter_cumsum	0xa989514905cf638f	0x859bb0
Проверка	simple_xor	0x496bc9275f45812d	0x85a370
Проверка	counter_xor	0x496bc9275f45812d	0x85a370
Проверка	counter_cumsum	0xefc9f7495d2fc567	0x859938
Проверка	counter_cumsum	0x6bbda3b733f199cf	0x85a230
Проверяю	simple_xor	0xaff7c78d7d91c927	0x85a2a8
Проверяю	counter_xor	0xaff7c78d7d91c927	0x85a2a8
Проверяю	counter_cumsum	0x8d0f5103d199b973	0x8598f0
Удаление	simple_xor	0xb1b93f7d55bdd511	0x858870
