prefix	variant	key	offset
Прервано пользователем	simple_xor	0x359db5addd912dc7	0x8588c0
Прервано пользователем	counter_xor	0x359db5addd912dc7	0x8588c0
Пожалуйста подождите	counter_cumsum	0xa9cbb3f5112bfd7b	0x859e50
Пожалуйста подождите	counter_cumsum	0x3bf5c503ff4131cb	0x85a1b8
Обновление прошивки	simple_xor	0x73ed43b1ff431583	0x8579b8
Обновление прошивки	simple_xor	0xe985d50fe7e75725	0x85ac98
Обновление прошивки	simple_xor	0xddc19fe5fbe11b0f	0x85ac80
Обновление прошивки	counter_xor	0x73ed43b1ff431583	0x8579b8
Обновление прошивки	counter_xor	0xe985d50fe7e75725	0x85ac98
Обновление прошивки	counter_xor	0xddc19fe5fbe11b0f	0x85ac80
Установка завершена	simple_xor	0x69318d016f4b3dcf	0x8581b8
Установка завершена	simple_xor	0xdb05895585bd159d	0x859fc8
Установка завершена	simple_xor	0xa9b7bdafd5f5d93d	0x85a130
Установка завершена	simple_xor	0x0d6f3f4dcf7de7f7	0x85a140
Установка завершена	counter_xor	0x69318d016f4b3dcf	0x8581b8
Установка завершена	counter_xor	0xdb05895585bd159d	0x859fc8
Установка завершена	counter_xor	0xa9b7bdafd5f5d93d	0x85a130
Установка завершена	counter_xor	0x0d6f3f4dcf7de7f7	0x85a140
Установка завершена	counter_cumsum	0x2d6f036d75d789f1	0x858290
Установка завершена	counter_cumsum	0xa5cd0bf3e36f4743	0x859b68
Установка завершена	counter_cumsum	0x0133e303bded29ab	0x85a0e8
Невозможно открыть	simple_xor	0x9dbdb54f6de7c5dd	0x85a8c0
Невозможно открыть	counter_xor	0x9dbdb54f6de7c5dd	0x85a8c0
Невозможно открыть	counter_cumsum	0xef3dd5d1998f25b3	0x8575f0
Невозможно открыть	counter_cumsum	0x55f5332189f12dcf	0x857870
Невозможно открыть	counter_cumsum	0xe7e7dd2503bd2101	0x857ed8
Невозможно открыть	counter_cumsum	0x9d6d6b99238f271d	0x858c58
Невозможно открыть	counter_cumsum	0x85654fddffad496d	0x85b028
Сбросить настройки	simple_xor	0x813373df510f1f1f	0x859598
Сбросить настройки	counter_xor	0x813373df510f1f1f	0x859598
Информация о игре	simple_xor	0x6d71559bf5b90bed	0x85a568
Информация о игре	simple_xor	0x55ddbd77e3ff6323	0x85a570
Информация о игре	simple_xor	0xcb4b4159ad8f1117	0x85a608
Информация о игре	counter_xor	0x6d71559bf5b90bed	0x85a568
Информация о игре	counter_xor	0x55ddbd77e3ff6323	0x85a570
Информация о игре	counter_xor	0xcb4b4159ad8f1117	0x85a608
Информация о игре	counter_cumsum	0xedcbf77947cfdb3b	0x8598a0
Информация о игре	counter_cumsum	0xb7695b379fe16363	0x85a460
Информация о игре	counter_cumsum	0xc98b433b154591f5	0x85a4c0
Информация о игре	counter_cumsum	0x29f5832bb1159713	0x85a4f0
Информация о игре	counter_cumsum	0x05a1859fc91faf51	0x85abb0
Информация о игре	counter_cumsum	0xdd05515d8525233f	0x85b060
Восстановление	simple_xor	0xa3f505a9b7c96fd1	0x857d70
Восстановление	simple_xor	0x956f59d165b3fd3d	0x85a388
Восстановление	counter_xor	0xa3f505a9b7c96fd1	0x857d70
Восстановление	counter_xor	0x956f59d165b3fd3d	0x85a388
Восстановление	counter_cumsum	0x9f15c9a33b2d0d6f	0x857d68
Предупреждения	simple_xor	0x999d4b3b8b37d57d	0x8fd2b0
Предупреждения	counter_xor	0x999d4b3b8b37d57d	0x8fd2b0
пользователем	simple_xor	0x57a5a7e10b3d6153	0x85a9a8
пользователем	simple_xor	0x958f5517a72771cd	0x85af48
пользователем	counter_xor	0x57a5a7e10b3d6153	0x85a9a8
пользователем	counter_xor	0x958f5517a72771cd	0x85af48
пользователем	counter_cumsum	0x359db5addd912dc7	0x8588c8
пользователем	counter_cumsum	0x3799a7dddf672383	0x858a40
Регистрация	simple_xor	0x5725037de57de79f	0x857fe8
Регистрация	simple_xor	0x812f5d012f8f15db	0x858240
Регистрация	counter_xor	0x5725037de57de79f	0x857fe8
Регистрация	counter_xor	0x812f5d012f8f15db	0x858240
Установлено	simple_xor	0xa3157da92125379f	0x8594c8
Установлено	simple_xor	0xf9d339b97b4fbd19	0x85a0a0
Установлено	counter_xor	0xa3157da92125379f	0x8594c8
Установлено	counter_xor	0xf9d339b97b4fbd19	0x85a0a0
Установлено	counter_cumsum	0x5dbb5b1fd1039357	0x859e18
Установлено	counter_cumsum	0x2b930f0907032f49	0x85a3e8
Установлено	counter_cumsum	0x55dd8d8151775bd1	0x85a8e0
установлено	simple_xor	0x65c53b152b231d07	0x85a400
установлено	simple_xor	0x9923450d2b4bef57	0x85acf8
установлено	simple_xor	0xcbd183fffdf7b7d1	0x9000e8
установлено	simple_xor	0x0d93c19123952b9d	0x900100
установлено	simple_xor	0x3fb537519999159d	0x85ad58
установлено	simple_xor	0xbfd9fb9d85f9b781	0x85ae48
установлено	counter_xor	0x65c53b152b231d07	0x85a400
установлено	counter_xor	0x9923450d2b4bef57	0x85acf8
установлено	counter_xor	0xcbd183fffdf7b7d1	0x9000e8
установлено	counter_xor	0x0d93c19123952b9d	0x900100
установлено	counter_xor	0x3fb537519999159d	0x85ad58
установлено	counter_xor	0xbfd9fb9d85f9b781	0x85ae48
установлено	counter_cumsum	0x27431775e57f7561	0x857698
