rodata_off	key	variant	length	plaintext	source
0x009c29a1	0xd3c5d3e9a5c3dffb	counter_xor	32	КшсЕЫвесЛЮдФЙтфтЩЕуГКувуНБжХЭжхж	multi_variant
0x0085f688	0x0b9727712bd3710f	counter_cumsum	18	зарегистрированный	multi_variant
0x008fb9c8	0x1b4d3197319727a9	counter_cumsum	19	(шестнадцатеричный)	multi_variant
0x8fb9c8	0x1b4d3197319727a9	counter_cumsum	20	(шестнадцатеричный)	immediate_walker
0x008fb8b0	0x51f58571cddb4f0b	counter_cumsum	32	Пробуем мультипрограмный вариант	multi_variant
0x858b60	0x690325cdb72339dd	counter_cumsum	15	редактируьъНИЯУ	immediate_walker
0x008fd2b0	0x999d4b3b8b37d57d	counter_xor	16	Предупреждения: 	multi_variant
0x008f76a8	0x41836b3f6d83a1df	counter_xor	32	Рекомендуется заменить SD карту 	multi_variant
0x008fb8d8	0x1b358ba3cff317c1	counter_xor	17	экспортирован: {}	multi_variant
0x009000e8	0xcbd183fffdf7b7d1	counter_xor	18	установленные игры	multi_variant
0x8577b8	0xa99907975fab8d47	counter_cumsum	14	плейсхолдеров	immediate_walker
0x85a690	0x8ba31d5705cf6377	counter_cumsum	13	Родительский	immediate_walker
0x85aa90	0xa989dfbd29d3d7f7	counter_cumsum	12	родительског	immediate_walker
0x85b1c8	0xc1d99f3b4bd991c7	counter_cumsum	13	Генерируется	immediate_walker
0x858258	0x4dab2141bbd30dff	counter_cumsum	13	ОТСУТСТВУЕТ.q	immediate_walker
0x8595d0	0x097fd7258f4b41a3	counter_cumsum	12	возрастного	immediate_walker
0x859e50	0xa9cbb3f5112bfd7b	counter_cumsum	12	ПожалуйсЖбН	immediate_walker
0x85a058	0x9d991dd9c9199135	counter_cumsum	11	требованйтС	immediate_walker
0x857d08	0xedbf0d572d3bf945	counter_cumsum	11	устройстРЛ(	immediate_walker
0x8587b8	0xebc9d71f67afcdbb	counter_cumsum	13	интерфейса: A	immediate_walker
0x859468	0x71fdb3b94379c919	counter_cumsum	11	контентеЩгA	immediate_walker
0x859b18	0x636381356d654d07	counter_cumsum	11	Показывать>	immediate_walker
0x859b80	0x41fbfd3f2baffbeb	counter_cumsum	10	картриджеа	immediate_walker
0x85a968	0xbb43cfebb327fbf9	counter_cumsum	10	скачаннонЫ	immediate_walker
0x85aaf8	0xf9f103f1d567cf0d	counter_cumsum	12	прошивкиБАHб	immediate_walker
0x008f53b8	0x29456b557951478b	counter_xor	32	были ошибки. Проверьте наличие E	multi_variant
0x857570	0x9feb11c90fef2bf1	counter_cumsum	9	Операцияд	immediate_walker
0x857ba0	0xe3630bb39de37dcf	counter_cumsum	10	Удаляется	immediate_walker
0x857fb0	0xc561b1ebefdfafdd	counter_cumsum	11	ПолученнШ%o	immediate_walker
0x8580d0	0x13359f2b8f0fe179	counter_cumsum	10	Ожидаемыдh	immediate_walker
0x8591d8	0xadcfa30549ddbf1d	counter_cumsum	9	СозданиеЦ	immediate_walker
0x859a88	0x0fa71533ff8f5111	counter_cumsum	11	АвтоповтшYИ	immediate_walker
0x85a2d8	0x0f21471511ffa1a1	counter_cumsum	10	следующищ)	immediate_walker
0x85a458	0xd7439f3541addbe7	counter_cumsum	9	созданияс	immediate_walker
0x85a618	0xe1f9abd1e3514d83	counter_cumsum	9	запущеныИ	immediate_walker
0x85aa70	0xa77961a76da12f81	counter_cumsum	10	мобильныш,	immediate_walker
0x85aba0	0x57e1db7fdd695d39	counter_cumsum	10	Запустить	immediate_walker
0x008f7680	0x0bb593d1c3a7a55f	counter_cumsum	32	записи на носитель слишком низка	multi_variant
0x008fd400	0x4fd7c925bd4b5361	counter_cumsum	32	Кажется ваша SD карта является п	multi_variant
0x008fff58	0x953dd3a1b585d35d	counter_xor	32	времени через Интернет в настрой	multi_variant
0x009002d8	0x03d39d4d0579b1cd	counter_cumsum	19	или оставьте пустым	multi_variant
0x8575a8	0x0725656b8bef4335	counter_cumsum	8	сохранен	prefix_scan
0x857790	0x998521a5b12781c5	counter_cumsum	8	Удаление	prefix_scan
0x8577d0	0x9789ed57b36bd9ef	counter_cumsum	11	системно|Vб	immediate_walker
0x857d68	0x9f15c9a33b2d0d6f	counter_cumsum	8	Восстано	prefix_scan
0x858290	0x2d6f036d75d789f1	counter_cumsum	8	Установк	prefix_scan
0x858ac8	0xed030bf9afedd19d	counter_cumsum	8	Сохранен	prefix_scan
0x858c10	0xf5f5c57fd3e517c5	counter_cumsum	8	хранилищ	prefix_scan
0x858c18	0xb5235d29a90b1715	counter_cumsum	8	посылаем	prefix_scan
0x858c28	0xabe1412985df8513	counter_cumsum	8	Свободно	prefix_scan
0x858d40	0x559909ffd3d3b7ff	counter_cumsum	8	привязки	prefix_scan
0x858d68	0x2567ab97e33ba1cd	counter_cumsum	10	получени'у	immediate_walker
0x858fa8	0xc367335909bdbb4b	counter_cumsum	8	Просмотр	prefix_scan
0x8595c0	0x59df6defc9d92357	counter_cumsum	9	запретовt	immediate_walker
0x8596f8	0x53db7b698d4dcf8b	counter_cumsum	10	ПолучениV&	immediate_walker
0x8597c0	0x1dd7098fc98121fd	counter_cumsum	8	Форсиров	prefix_scan
0x8598a0	0xedcbf77947cfdb3b	counter_cumsum	8	Информац	prefix_scan
0x8598f0	0x8d0f5103d199b973	counter_cumsum	8	Проверяю	prefix_scan
0x859938	0xefc9f7495d2fc567	counter_cumsum	8	Проверка	prefix_scan
0x859a68	0xe34defc71b53b787	counter_cumsum	8	обновлен	prefix_scan
0x859c48	0x2571811187f15535	counter_cumsum	13	Использо8'i~4	immediate_walker
0x859e18	0x5dbb5b1fd1039357	counter_cumsum	8	Установл	prefix_scan
0x859ee0	0x5571470d9d0d6523	counter_cumsum	8	информац	prefix_scan
0x859f38	0x0dc505f513f12d2d	counter_cumsum	8	Загрузка	prefix_scan
0x85a180	0x05078773b707319b	counter_cumsum	8	Настройк	prefix_scan
0x85a340	0x953fc5a3d1431fe9	counter_cumsum	12	собираетPРЫл	immediate_walker
0x85a540	0xc99955256dc14941	counter_cumsum	10	КонтроллAD	immediate_walker
0x85a550	0x69e7c3df9353fb03	counter_cumsum	8	значение	prefix_scan
0x85a5a0	0x879b751539874163	counter_cumsum	8	Сохранён	prefix_scan
0x85a5a8	0x879b751539874163	counter_cumsum	8	параметр	prefix_scan
0x85aac8	0xdb338d1929fdc993	counter_cumsum	8	Завершен	prefix_scan
0x85acd8	0x7991f55d09b5a18f	counter_cumsum	8	Загружае	prefix_scan
0x85ace8	0x93dbcbd9e7bbf973	counter_cumsum	8	Загружен	prefix_scan
0x85b0b0	0x872deb877559312b	counter_cumsum	8	аргумент	prefix_scan
0x0083f2ac	0xa1afb5b11fa3ad89	counter_xor	32	ШхбkтЭауОэжUббУтНая!юарРЫут[Дпкв	multi_variant
0x00850723	0x8bad81fb5fc7e9df	counter_xor	32	ъИг_ШюХьмьЩVямХнАКиaЩбЙчощСPскЖл	multi_variant
0x00850761	0x95c1fbfffdd967af	counter_xor	32	И%ХогШатУ;Во9нОуВ+Йм9ЩцжВ9Я10фИш	multi_variant
0x00900773	0xedf3ffc5cbcfe145	counter_xor	32	EгокеШСМFГплф!ТНGаямг"УОHюрнх%ЖП	multi_variant
