extending 239 unique hits...
offset	key	variant	length	plaintext
0x8581b8	0x69318d016f4b3dcf	simple_xor	9	Установкп
0x859fc8	0xdb05895585bd159d	simple_xor	8	Установк
0x85a130	0xa9b7bdafd5f5d93d	simple_xor	8	Установк
0x85a140	0x0d6f3f4dcf7de7f7	simple_xor	9	УстановкF
0x8581b8	0x69318d016f4b3dcf	counter_xor	9	Установко
0x859fc8	0xdb05895585bd159d	counter_xor	8	Установк
0x85a130	0xa9b7bdafd5f5d93d	counter_xor	8	Установк
0x85a140	0x0d6f3f4dcf7de7f7	counter_xor	9	УстановкI
0x858290	0x2d6f036d75d789f1	counter_cumsum	13	Установкк Мbv
0x859b68	0xa5cd0bf3e36f4743	counter_cumsum	9	УстановкП
0x85a0e8	0x0133e303bded29ab	counter_cumsum	11	УстановкцЩG
0x85b0c8	0x1bcb07e5f1e1d733	simple_xor	9	Установиа
0x85b0c8	0x1bcb07e5f1e1d733	counter_xor	9	Установиф
0x8594c8	0xa3157da92125379f	simple_xor	8	Установл
0x85a0a0	0xf9d339b97b4fbd19	simple_xor	14	Установл3г;А?О
0x8594c8	0xa3157da92125379f	counter_xor	15	Установл0)ЮН'WЛ
0x85a0a0	0xf9d339b97b4fbd19	counter_xor	14	Установл0д$Ф<Л
0x859e18	0x5dbb5b1fd1039357	counter_cumsum	10	УстановлUF
0x85a3e8	0x2b930f0907032f49	counter_cumsum	10	Установлнx
0x85a8e0	0x55dd8d8151775bd1	counter_cumsum	8	Установл
0x858870	0xb1b93f7d55bdd511	simple_xor	19	Удалениецеликом:БыЙ
0x858cf8	0x6d9fdb5581618be7	simple_xor	12	УдалениеO?#K
0x8594f0	0x5181912f67c38711	simple_xor	10	Удаление4н
0x85a258	0x7fd7196df1db7f3d	simple_xor	11	УдалениесЭЫ
0x85a2c0	0xcb318351bdc9ff87	simple_xor	8	Удаление
0x85a310	0xcd658f89072f5d47	simple_xor	11	УдалениесЭЫ
0x85a330	0x717d6f55092b7f55	simple_xor	17	Удалениесохраненo
0x85aae0	0x61374ff9f9f723eb	simple_xor	10	УдалениеmC
0x858870	0xb1b93f7d55bdd511	counter_xor	13	Удалениеюфойх
0x858cf8	0x6d9fdb5581618be7	counter_xor	12	Удаление@8 H
0x8594f0	0x5181912f67c38711	counter_xor	10	Удаление7а
0x85a258	0x7fd7196df1db7f3d	counter_xor	9	Удалениеп
0x85a2c0	0xcb318351bdc9ff87	counter_xor	8	Удаление
0x85a310	0xcd658f89072f5d47	counter_xor	9	Удалениеэ
0x85a330	0x717d6f55092b7f55	counter_xor	18	Удалениеп0оябяфмmb
0x85aae0	0x61374ff9f9f723eb	counter_xor	10	УдалениеjD
0x857790	0x998521a5b12781c5	counter_cumsum	18	Удаление[NЖЦ:ALyщ`
0x857850	0x8761cdb90f0323f9	counter_cumsum	9	УдалениеC
0x858018	0x2921abad29c94559	counter_cumsum	13	Удаление=ЦsЫе
0x858218	0x4bd12f5955f57de5	counter_cumsum	10	Удаление~В
0x858a60	0xf79b4d9d8f817f73	counter_cumsum	8	Удаление
0x85a2a0	0x298f5f038fbd5d53	counter_cumsum	9	УдалениеH
0x85a2c8	0x331b85efd39b2b67	counter_cumsum	13	УдалениеKЩeGУ
0x85a870	0x536bcb5581734b61	counter_cumsum	9	Удалениеo
0x85ab90	0xed69a159559f51bd	counter_cumsum	8	Удаление
