rodata_off	variant	key	clean_len	total_len	clean_text
0x8f7a50	simple_xor	0xcfb139274d21cb19	21	21	сохранения невозможно
0x858870	simple_xor	0xb1b93f7d55bdd511	19	19	Удалениецеликом:БыЙ
0x9000e8	simple_xor	0xcbd183fffdf7b7d1	18	18	установлфааз:'йюпв
0x85ac80	simple_xor	0xddc19fe5fbe11b0f	18	18	Обновленвремени.7е
0x85f688	counter_cumsum	0x0b9727712bd3710f	18	18	зарегистрированный
0x900100	simple_xor	0x0d93c19123952b9d	17	17	установленных игр
0x85a330	simple_xor	0x717d6f55092b7f55	16	17	Удалениесохранен
0x8589f8	counter_cumsum	0x09e75581e37f113d	16	16	сохраненжцщ**эН:
0x858d88	simple_xor	0x09c5dfe7f1194f11	16	16	Закрытиесоединен
0x85a2a8	simple_xor	0xaff7c78d7d91c927	16	16	Проверяюсохранен
0x8579b8	simple_xor	0x73ed43b1ff431583	16	17	Обновленверсии д
0x8fd2b0	simple_xor	0x999d4b3b8b37d57d	16	16	Предупреугйинж9#
0x857fe8	simple_xor	0x5725037de57de79f	16	16	Регистрафайла {}
0x8f75a8	counter_cumsum	0x311d53736f8f7df5	16	16	альбома грЛ<ЙЦКО
0x85ba90	simple_xor	0xa54f05039fdb8df1	15	15	сохранений ({})
0x85baa0	counter_cumsum	0x15697f77f729ab49	15	15	значение) : {}%
0x85a0a0	simple_xor	0xf9d339b97b4fbd19	14	14	Установл3г;А?О
0x859598	counter_xor	0x813373df510f1f1f	14	14	СброситьКаЛЧ,В
0x8fbb88	simple_xor	0x515b9db35bef112d	14	35	игры      : {:
0x8594c8	counter_xor	0xa3157da92125379f	13	15	Установл0)ЮН'
0x85a570	simple_xor	0x55ddbd77e3ff6323	13	17	ИнформацЭ,Э-]
0x859878	simple_xor	0xbbc3b7a1676f8991	12	12	Сохраненп.о+
0x8575a8	counter_cumsum	0x0725656b8bef4335	12	13	сохраненФНб8
0x85acf8	simple_xor	0x9923450d2b4bef57	12	12	установл(9НТ
0x85ad58	counter_xor	0x3fb537519999159d	12	13	установлнХ'О
0x858290	counter_cumsum	0x2d6f036d75d789f1	11	13	Установкк М
0x858cf8	counter_xor	0x6d9fdb5581618be7	11	12	Удаление@8 
0x85a258	simple_xor	0x7fd7196df1db7f3d	11	11	УдалениесЭЫ
0x85a310	simple_xor	0xcd658f89072f5d47	11	11	УдалениесЭЫ
0x858ac8	counter_cumsum	0xed030bf9afedd19d	11	11	Сохранен%фК
0x858c98	counter_cumsum	0x1dff35238dcb6965	11	11	сохранен:39
0x8588c0	counter_xor	0x359db5addd912dc7	11	11	ПрерваноъЭЧ
0x858a40	counter_cumsum	0x3799a7dddf672383	11	11	пользовай"[
