text_pc	key	length	rodata_off	n_imm	plaintext
0x710337f4	0x0dbd8b798f8ddfd3	12	0x8585e0	1	бhctхЗ("ВвeУ
0x71038348	0xb32f0fabd9bd6f85	11	0x8586d8	1	жUНйбEGKп@Ч
0x71094e30	0x9feb11c90fef2bf1	9	0x857570	1	Операцияд
0x710b9030	0x27d1e363737fbba9	11	0x8575d0	1	Найдено сzЗ
0x710c83d8	0x9bfb6fe551c96181	10	0x857728	1	Найден {Ч`
0x710d04c0	0xa99907975fab8d47	14	0x8577b8	2	плейсхолдеров
0x710d19f8	0x9789ed57b36bd9ef	11	0x8577d0	1	системно|Vб
0x710d1b38	0x9789ed57b36bd9ef	11	0x8577d0	1	системно|Vб
0x7112d3a0	0xe3630bb39de37dcf	10	0x857ba0	1	Удаляется
0x7115c640	0x75cb5d4951c92ddd	12	0x857ca0	1	?;Х4P<ь4ЩнНН
0x7115f998	0xedbf0d572d3bf945	11	0x857d08	1	устройстРЛ(
0x711ab338	0xc561b1ebefdfafdd	11	0x857fb0	0	ПолученнШ%o
0x711c0910	0x13359f2b8f0fe179	10	0x8580d0	0	Ожидаемыдh
0x711e1350	0x2d6f036d75d789f1	10	0x858290	0	Установкк
0x711e7740	0x4dab2141bbd30dff	13	0x858258	2	ОТСУТСТВУЕТ.q
0x711e8c00	0x673931653de3f76b	11	0x8582a8	0	Файлы игГ'k
0x711ef528	0x63b5e159d1356371	9	0x8582f8	0	не можете
0x71209560	0xebc9d71f67afcdbb	13	0x8587b8	2	интерфейса: A
0x71211590	0x13d905d7c92be5c7	12	0x858808	1	на SD карте
0x71247ac8	0xf79b4d9d8f817f73	9	0x858a60	1	Удаление9
0x7124db88	0x3bf9dbc139d9c3ab	9	0x858ac0	1	Создание6
0x7124fab8	0x43d3b5832dc1097b	11	0x858a88	1	сохранен),Н
0x71259d38	0x690325cdb72339dd	15	0x858b60	2	редактируьъНИЯУ
0x7125afd0	0x690325cdb72339dd	15	0x858b60	2	редактируьъНИЯУ
0x7125d438	0x690325cdb72339dd	15	0x858b60	2	редактируьъНИЯУ
0x71269c28	0xb5235d29a90b1715	12	0x858c18	1	посылаемzхт~
0x7126a140	0xabe1412985df8513	10	0x858c28	0	СвободноС;
0x7128c140	0x559909ffd3d3b7ff	9	0x858d40	0	привязкиЬ
0x7128cd58	0x11af317f19b1176f	11	0x858d38	1	сокета: 3KЩ
0x71291910	0x2567ab97e33ba1cd	10	0x858d68	0	получени'у
0x71293be8	0x2567ab97e33ba1cd	10	0x858d68	0	получени'у
0x7131e9d0	0xadcfa30549ddbf1d	9	0x8591d8	1	СозданиеЦ
0x713a2210	0x71fdb3b94379c919	11	0x859468	1	контентеЩгA
0x713b6e84	0x59df6defc9d92357	9	0x8595c0	1	запретовt
0x713b71f8	0x097fd7258f4b41a3	12	0x8595d0	1	возрастного
0x713cb408	0x53db7b698d4dcf8b	10	0x8596f8	1	ПолучениV&
0x713d3b08	0x1b4d3197319727a9	20	0x8fb9c8	0	(шестнадцатеричный)
0x713e0730	0x1dd7098fc98121fd	12	0x8597c0	1	ФорсировуВyC
0x713f1638	0xedcbf77947cfdb3b	10	0x8598a0	1	Информац
0x713f3468	0x1dd7098fc98121fd	12	0x8597c0	1	ФорсировуВyC
0x713fdc28	0xefc9f7495d2fc567	9	0x859938	1	Проверка,
0x71403ccc	0xddf399c9d9ab291b	12	0x859988	1	контенте>AМг
0x71418840	0x0fa71533ff8f5111	11	0x859a88	1	АвтоповтшYИ
0x7141b578	0xa71d95fb9f3d3191	10	0x83e310	1	р"soЩЖrEББ
0x7141dc08	0x636381356d654d07	11	0x859b18	1	Показывать>
0x71421518	0x41fbfd3f2baffbeb	10	0x859b80	1	картриджеа
